source,target,cost
3,36,13.799793660640717
3,37,13.54736977815628
4,957,6.668808147311211
6,1017,6.447788193821907
7,1102,6.6045539528131485
8,49,1635.0449517965317
8,53,1635.0750967264175
8,272,1633.6491716951132
8,280,1633.6423291116953
8,288,1633.6503759622574
8,289,1633.5562888234854
8,290,1633.5990822166204
9,686,1635.6100172400475
9,756,1635.6652719974518
12,31,1652.6659551858902
16,938,1631.322390973568
19,232,1633.1522206366062
22,1115,1637.6043296307325
22,1138,1637.5892456024885
22,1139,1637.6343857645988
22,1141,1637.5579987168312
51,286,4.827457427978516
52,280,4.912947416305542
52,293,4.882887437939644
54,300,4.799887254834175
55,308,4.875254526734352
55,317,4.860989019274712
56,320,4.802824959158897
57,319,4.886000722646713
57,340,4.886222094297409
58,326,4.771997049450874
60,338,4.895098611712456
60,347,4.829580336809158
61,339,4.71417410671711
62,353,5.0120087414979935
63,341,4.837786301970482
63,370,4.8412191569805145
63,379,4.837786853313446
64,358,4.89077290892601
65,380,4.985800683498383
66,377,4.802292838692665
67,359,4.7941915690898895
67,384,4.854728728532791
68,381,4.8191850781440735
69,381,4.8156856298446655
70,389,4.883675202727318
70,396,4.835643544793129
71,363,4.821147993206978
71,402,4.861036628484726
72,396,4.825797751545906
73,407,4.825172796845436
73,410,4.846764072775841
75,404,4.8132002502679825
76,405,4.822344541549683
77,387,4.772454127669334
77,410,4.840805530548096
77,417,4.812488257884979
78,387,4.833849251270294
78,405,4.84317022562027
78,426,4.918033331632614
79,430,4.770226910710335
79,433,4.840585559606552
79,437,4.802269101142883
80,422,4.940368667244911
80,431,4.907960429787636
81,434,4.9262910932302475
81,459,4.863728731870651
82,443,4.8219824731349945
82,475,4.801428183913231
83,467,4.953449875116348
84,451,5.01701346039772
84,464,4.936023786664009
86,448,4.912418678402901
86,481,4.907625153660774
87,482,4.804274633526802
87,507,4.78006985783577
88,497,4.750615477561951
91,524,4.854011133313179
94,525,4.880038648843765
94,538,4.8328515738248825
95,543,4.928784787654877
96,546,4.77438759803772
96,558,4.907773643732071
97,539,4.6889975517988205
98,554,4.912618309259415
98,555,4.889481008052826
99,574,4.862263768911362
100,579,4.989837735891342
101,562,4.830631762742996
101,583,4.947002753615379
102,589,4.8578227162361145
103,578,4.987130135297775
104,584,4.826907783746719
104,590,4.818614989519119
105,590,4.883320689201355
105,597,4.863103747367859
106,578,4.8969853818416595
107,600,5.0042372941970825
108,609,4.906890407204628
110,609,4.834944352507591
110,610,4.866645857691765
111,627,4.659343719482422
112,589,4.831979036331177
113,621,4.955028921365738
113,622,4.93427312374115
114,636,4.891797140240669
115,639,4.83990752696991
115,656,4.77102267742157
116,651,4.893810361623764
117,642,4.779174581170082
118,646,4.970635011792183
120,639,4.817031726241112
120,660,4.958443254232407
121,648,4.9108226746320724
121,666,4.9483131766319275
122,683,4.81528303027153
123,660,4.971392512321472
124,684,4.829373300075531
125,658,4.822163954377174
125,670,4.869862213730812
125,673,4.928872242569923
126,657,4.91831773519516
126,677,4.892318323254585
126,687,5.027978450059891
127,674,4.870306760072708
127,682,4.877295702695847
127,696,4.91417521238327
128,670,4.783215627074242
128,673,4.842225655913353
128,691,4.844775810837746
129,675,4.888289764523506
130,693,4.948640942573547
131,682,4.8204933404922485
131,705,4.820349559187889
131,707,4.714872226119041
131,714,4.844971388578415
132,685,4.885433241724968
132,696,4.883849173784256
133,708,4.816436305642128
133,711,4.770198866724968
135,682,4.874187707901001
135,707,4.768566593527794
135,714,4.898665755987167
136,710,4.852927714586258
137,713,4.778164848685265
138,697,4.875337228178978
138,703,4.873960003256798
139,710,4.812311202287674
139,722,4.842933341860771
140,705,4.82560721039772
140,716,4.823518306016922
140,731,4.873130232095718
141,703,4.856211394071579
141,727,4.833761319518089
142,739,4.92041040956974
143,721,4.8341128677129745
144,735,4.914986655116081
145,724,4.809063613414764
146,745,4.922341138124466
147,755,4.68467204272747
147,756,4.82414485514164
148,771,4.864735618233681
149,740,4.805120155215263
149,755,4.727553978562355
150,752,4.770674899220467
150,766,4.800400733947754
152,775,4.917116686701775
153,774,5.061696782708168
154,759,4.891531214118004
154,785,4.939719662070274
154,792,4.9618659764528275
156,767,4.847488984465599
157,808,4.808959037065506
158,806,4.8888266533613205
159,801,5.033255949616432
159,810,4.964082524180412
159,814,4.969632968306541
160,809,4.873224228620529
160,811,4.774598136544228
160,816,4.755538806319237
161,808,4.815102189779282
161,821,4.743723601102829
163,837,4.939095661044121
165,826,4.886714816093445
166,813,4.783170089125633
166,817,4.72997485101223
166,833,4.8849697560071945
168,819,4.771499887108803
168,831,4.78976970911026
169,827,4.8431752771139145
171,831,4.900790065526962
171,847,4.852097749710083
173,855,4.92788265645504
174,840,4.943366348743439
175,842,4.925955206155777
175,863,4.840828061103821
176,852,4.995821639895439
177,833,4.922604277729988
178,833,4.887467667460442
178,854,4.819240167737007
179,822,4.864092484116554
179,843,4.933478936553001
180,836,4.804036527872086
181,822,4.797991260886192
182,842,4.94552156329155
182,875,4.872612029314041
183,853,4.807942718267441
183,860,4.778091937303543
183,873,4.836407780647278
183,882,4.777941599488258
184,878,4.9275690615177155
185,871,4.955122083425522
186,869,4.822289019823074
186,878,4.7883401066064835
186,896,4.855859398841858
188,875,4.846764296293259
189,889,4.924481004476547
190,890,4.82429763674736
191,891,4.800876542925835
192,889,4.806442439556122
192,901,4.88039293885231
192,905,4.735074028372765
193,890,4.803191810846329
193,906,4.812928482890129
194,900,4.798460051417351
195,894,4.908532485365868
196,904,4.810632199048996
197,894,4.793001785874367
197,913,4.8040603548288345
198,910,4.696674317121506
198,924,4.732390463352203
199,906,4.86016483604908
199,927,4.951245501637459
200,897,4.732043266296387
201,894,4.8371288031339645
201,928,4.829711556434631
202,895,4.853862449526787
202,915,4.834738656878471
203,897,4.926595568656921
203,914,4.882868409156799
204,918,4.787430077791214
204,922,4.839627578854561
207,904,4.88105109333992
207,935,4.856027588248253
207,939,4.920328453183174
208,945,4.843370765447617
209,935,4.79124628007412
209,948,4.823849603533745
210,946,4.887837812304497
211,928,4.767850235104561
211,951,4.777705192565918
212,940,5.021263837814331
212,954,4.908199191093445
213,940,5.015621393918991
214,941,4.846309140324593
214,953,4.725364118814468
215,943,4.7336258590221405
215,945,4.742155611515045
216,948,4.943587705492973
219,945,4.82463726401329
221,960,4.928370580077171
222,990,4.929490193724632
223,985,4.849015966057777
224,998,4.896112248301506
225,991,4.78705121576786
225,1005,4.850884959101677
226,995,4.906833603978157
226,997,4.85840530693531
228,997,4.903649061918259
229,989,4.934718206524849
229,1008,4.93626843392849
230,1010,4.892681151628494
231,999,4.877741351723671
233,1010,4.749500781297684
236,1014,4.897989809513092
236,1023,4.843989253044128
237,1018,4.89395597577095
237,1019,4.917224586009979
238,1042,5.028097182512283
241,1043,4.831008747220039
241,1062,4.9633661806583405
242,1042,4.941127687692642
242,1051,4.772421792149544
242,1056,4.891309902071953
243,1055,4.899148851633072
243,1064,4.773945331573486
244,1049,4.7873232662677765
244,1057,4.823257088661194
245,1065,4.7984930872917175
245,1073,4.8857323825359344
246,1058,4.690552115440369
246,1072,4.6497704684734344
247,1063,4.907122150063515
251,1078,4.941556602716446
253,1084,4.987650245428085
254,1093,4.899332582950592
256,1093,4.820418059825897
257,1089,4.929959610104561
259,1101,4.942050755023956
259,1115,4.942507907748222
259,1118,4.93592332303524
261,1109,4.744038358330727
261,1113,4.860978439450264
262,1108,4.841747134923935
263,1106,4.85293710231781
263,1109,4.720918133854866
263,1125,4.858364179730415
264,1121,4.933115541934967
265,1112,4.8527930825948715
265,1117,4.959973409771919
267,1128,4.902743563055992
267,1133,4.959993436932564
270,1134,4.899153083562851
270,1137,4.888348564505577
270,1139,4.968181014060974
271,1142,4.977735459804535
